sourceName,sourceVersion,device,creationDate,startDate,endDate,workoutActivityType,duration,durationUnit,totalDistance,totalDistanceUnit,totalEnergyBurned,totalEnergyBurnedUnit
"Divvy","5057",,2019-07-17 08:04:40 -0600,2019-07-16 16:06:24 -0600,2019-07-16 16:14:23 -0600,"HKWorkoutActivityTypeCycling",7.978933330376943,"min",,,,
"Divvy","5057",,2019-07-17 08:27:44 -0600,2019-07-17 08:05:31 -0600,2019-07-17 08:27:19 -0600,"HKWorkoutActivityTypeCycling",21.8093000014623,"min",,,,
"Divvy","5057",,2019-07-19 15:44:01 -0600,2019-07-19 09:31:32 -0600,2019-07-19 09:54:21 -0600,"HKWorkoutActivityTypeCycling",22.80945000251134,"min",,,,
"Divvy","5057",,2019-07-19 15:55:24 -0600,2019-07-19 15:44:19 -0600,2019-07-19 15:51:49 -0600,"HKWorkoutActivityTypeCycling",7.508916668097178,"min",,,,
"Divvy","5057",,2019-07-23 08:19:48 -0600,2019-07-22 07:57:31 -0600,2019-07-22 08:21:11 -0600,"HKWorkoutActivityTypeCycling",23.66964999834697,"min",,,,
"Divvy","5057",,2019-07-23 16:30:48 -0600,2019-07-23 08:20:06 -0600,2019-07-23 08:39:41 -0600,"HKWorkoutActivityTypeCycling",19.58533333539963,"min",,,,
"Divvy","5057",,2019-07-23 16:39:14 -0600,2019-07-23 16:31:28 -0600,2019-07-23 16:38:46 -0600,"HKWorkoutActivityTypeCycling",7.300700000921885,"min",,,,
"Divvy","5057",,2019-07-24 13:17:04 -0600,2019-07-24 07:48:19 -0600,2019-07-24 08:10:07 -0600,"HKWorkoutActivityTypeCycling",21.80206666390101,"min",,,,
"Divvy","5057",,2019-07-24 15:30:56 -0600,2019-07-24 13:17:21 -0600,2019-07-24 13:25:37 -0600,"HKWorkoutActivityTypeCycling",8.257400000095368,"min",,,,
"Divvy","5057",,2019-07-24 15:51:00 -0600,2019-07-24 15:34:50 -0600,2019-07-24 15:49:30 -0600,"HKWorkoutActivityTypeCycling",14.66129999955495,"min",,,,
"Divvy","5057",,2019-07-25 08:34:24 -0600,2019-07-25 08:02:27 -0600,2019-07-25 08:29:40 -0600,"HKWorkoutActivityTypeCycling",27.20748333533605,"min",,,,
"Divvy","5057",,2019-07-25 17:01:56 -0600,2019-07-25 16:26:01 -0600,2019-07-25 16:45:12 -0600,"HKWorkoutActivityTypeCycling",19.18031666676204,"min",,,,
"Divvy","5057",,2019-07-26 08:35:02 -0600,2019-07-26 07:56:56 -0600,2019-07-26 08:26:45 -0600,"HKWorkoutActivityTypeCycling",29.81041666666667,"min",,,,
"Divvy","5057",,2019-07-26 15:38:59 -0600,2019-07-26 12:23:16 -0600,2019-07-26 12:30:39 -0600,"HKWorkoutActivityTypeCycling",7.38633333047231,"min",,,,
"Divvy","5057",,2019-07-26 16:25:44 -0600,2019-07-26 15:39:18 -0600,2019-07-26 16:05:38 -0600,"HKWorkoutActivityTypeCycling",26.32986666758855,"min",,,,
"Divvy","5057",,2019-07-29 09:40:55 -0600,2019-07-29 08:10:16 -0600,2019-07-29 08:34:04 -0600,"HKWorkoutActivityTypeCycling",23.80828333298365,"min",,,,
"Divvy","5057",,2019-07-29 16:40:41 -0600,2019-07-29 09:41:17 -0600,2019-07-29 09:48:40 -0600,"HKWorkoutActivityTypeCycling",7.377050002415975,"min",,,,
"Divvy","5057",,2019-07-29 17:25:03 -0600,2019-07-29 16:51:06 -0600,2019-07-29 17:13:02 -0600,"HKWorkoutActivityTypeCycling",21.93505000273387,"min",,,,
"Divvy","5057",,2019-07-31 08:25:33 -0600,2019-07-31 07:43:42 -0600,2019-07-31 08:09:52 -0600,"HKWorkoutActivityTypeCycling",26.17494999965032,"min",,,,
